index,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW
1178,0,0.0,0.0,1,0,1,1,1,0,1,0.20312437556593466,-0.2617475292863519,-0.49413826273105416,0.015002644752808592,-0.21322764036590774,-1.4169990694640224
692,1,1.0,0.0,0,0,0,1,0,0,1,0.20312437556593466,-0.6687217242911336,-0.49413826273105416,0.6746544451887129,-0.6197940088727037,-0.8350606570396912
15986,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-1.115829013137313,-0.7101420907631029,-1.4169990694640224
3382,1,0.0,0.0,1,0,1,1,0,1,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,0.5204501282036963,-0.6197940088727037,0.03784696159680549
6598,1,1.0,0.0,1,1,0,1,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.0794206946782885,-0.3019728957163922,-0.5746199679275041,-0.2531222446153601
9201,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.0794206946782885,-1.0387268546448047,-0.7101420907631029,1.4926929926576333
9080,0,0.0,1.0,1,0,0,0,0,0,0,-0.14096918655443127,0.9591750557279932,-0.49413826273105416,-0.05353260724053211,-0.6197940088727037,-0.5440914508275256
3965,1,0.0,0.0,1,1,0,0,0,0,1,-0.14096918655443127,-1.0756959192959155,-0.49413826273105416,0.3405450917211769,-0.6197940088727037,-1.1260298632518568
1805,0,0.0,0.0,0,0,1,1,1,0,1,2.2676857482881303,0.14522666571842976,0.33529687337447717,0.10067170974448447,0.19333872814088823,1.2017237864454677
5398,0,0.0,1.0,1,1,0,1,0,0,1,-0.4850627486747972,1.3661492507327748,-0.49413826273105416,-0.12206785923387282,0.05781660530528958,-0.5440914508275256
997,1,0.0,0.0,0,0,0,0,0,0,1,1.9235921861677643,-0.6687217242911336,-0.49413826273105416,0.2120414942336631,-0.4842718860371051,-0.8350606570396912
2365,1,0.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.0794206946782885,-0.6189484361855929,-0.39392380414670597,-0.5440914508275256
8835,1,0.0,0.0,0,1,0,0,0,0,1,0.8913114998066666,0.9591750557279932,-0.0794206946782885,1.2400702741337737,-0.6649680498179033,1.2017237864454677
7487,0,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-0.7817196596697771,-0.5746199679275041,1.2017237864454677
2966,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,0.7500144414272428,-0.4133426802055708,-0.30357572225630686,0.32881616780897105
10721,1,1.0,0.0,0,0,0,0,0,0,1,3.644059996769594,0.9591750557279932,2.4088847136383054,1.7626515705829966,-0.39392380414670597,0.32881616780897105
2536,1,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,-0.6687217242911336,0.7500144414272428,-0.6360822491839281,0.32886085097648693,-1.4169990694640224
4520,1,1.0,0.0,1,1,1,1,0,0,1,4.676340683130692,-0.2617475292863519,1.1647320094800084,0.26344293322866863,2.04547440689407,-1.4169990694640224
10083,0,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.9530577896531288,-0.7553161317083024,-1.1260298632518568
15609,0,0.0,0.0,1,1,0,1,0,0,1,-0.14096918655443127,0.9591750557279932,-0.49413826273105416,0.837425668672897,-0.7553161317083024,-1.1260298632518568
141,1,0.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.49413826273105416,-0.22487073722388387,-0.4842718860371051,-1.4169990694640224
789,0,0.0,0.0,0,0,0,0,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,-0.9273570701556261,-0.5746199679275041,1.2017237864454677
6863,1,1.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,0.2120414942336631,-0.4842718860371051,0.03784696159680549
3583,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-1.1672304521323185,-0.5746199679275041,-1.4169990694640224
9292,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.5247124646947494,-0.7553161317083024,-1.4169990694640224
5710,1,0.0,0.0,1,1,0,1,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.7731527531706095,-0.2584016813111073,-0.5440914508275256
6152,0,0.0,0.0,1,1,0,1,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,0.443347969711188,0.10299064625048913,-0.5440914508275256
1916,0,1.0,0.0,0,1,0,0,0,0,1,-0.14096918655443127,-1.8896443093054787,-0.49413826273105416,0.8459925751720646,-0.6649680498179033,-0.8350606570396912
14793,0,0.0,0.0,0,0,1,1,0,0,1,0.20312437556593466,-0.2617475292863519,1.1647320094800084,-0.5846808101889226,0.7354272194832829,-0.8350606570396912
7705,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,1.3661492507327748,0.33529687337447717,-0.7474520336731068,-0.4390978450919055,0.9107545802333022
5578,1,1.0,1.0,0,0,0,0,0,0,1,0.20312437556593466,0.5522008607232115,1.9941671455855396,-0.3619412412105653,1.2775157108256776,-0.8350606570396912
2954,1,0.0,1.0,1,0,1,0,1,0,1,0.20312437556593466,-1.0756959192959155,-0.0794206946782885,1.754084664083829,1.5937339974420746,-1.4169990694640224
38,1,0.0,0.0,1,0,0,0,0,0,1,0.20312437556593466,1.7731234457375566,-0.49413826273105416,1.3857076846196228,-0.6197940088727037,-0.8350606570396912
10637,1,0.0,1.0,0,0,0,1,0,0,1,-0.4850627486747972,-0.6687217242911336,0.33529687337447717,-0.7817196596697771,-0.4842718860371051,0.32881616780897105
10136,0,0.0,0.0,1,1,0,1,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,0.9659292661604109,-0.30357572225630686,-1.4169990694640224
15289,1,1.0,1.0,1,0,1,0,1,0,1,-0.14096918655443127,-0.6687217242911336,1.9941671455855396,-0.9016563506581233,3.08447734863366,-1.4169990694640224
8697,1,0.0,0.0,1,0,1,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.010698074744694173,-0.7101420907631029,1.4926929926576333
4374,0,0.0,0.0,0,0,0,0,0,0,0,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,-0.2163038307247163,-0.7101420907631029,-1.4169990694640224
12078,0,0.0,0.0,1,0,1,1,1,0,1,-0.14096918655443127,0.9591750557279932,-0.0794206946782885,0.588985380197037,0.5999050966476842,-0.5440914508275256
12523,0,0.0,0.0,1,0,0,1,1,0,1,-0.4850627486747972,1.3661492507327748,-0.0794206946782885,0.1435062422403224,-0.1680535994207082,-0.5440914508275256
13737,0,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.23343764372305145,0.10299064625048913,0.6197853740211366
178,0,1.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,0.28057674622700385,-0.5746199679275041,0.03784696159680549
3793,0,0.0,1.0,1,1,1,1,1,0,1,-0.14096918655443127,0.5522008607232115,0.33529687337447717,-0.3533743347113977,0.2836868100312874,-1.4169990694640224
7361,1,0.0,1.0,1,0,1,1,1,0,1,-0.14096918655443127,0.14522666571842976,-0.0794206946782885,-0.2077369242255487,0.825775301373682,-0.2531222446153601
8755,1,0.0,0.0,0,1,0,1,0,0,1,0.8913114998066666,0.9591750557279932,-0.0794206946782885,1.2486371806329413,-0.39392380414670597,-0.5440914508275256
12725,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-1.1329628261356481,-0.12287955847550863,-1.4169990694640224
8981,0,1.0,1.0,1,1,1,1,1,0,1,0.20312437556593466,-0.6687217242911336,-0.0794206946782885,0.32341127872284176,2.3165186525652675,-1.1260298632518568
4172,1,0.0,0.0,1,0,0,0,0,0,1,-0.14096918655443127,-0.2617475292863519,-0.49413826273105416,-0.9873254156497993,-0.30357572225630686,0.32881616780897105
11184,1,0.0,1.0,1,1,1,1,1,0,1,1.5794986240473985,-1.482670114300697,0.7500144414272428,0.8973940141670702,1.413037833661276,-0.8350606570396912
13251,1,1.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-0.6103815296864253,-0.6197940088727037,0.32881616780897105
3396,0,0.0,0.0,1,1,1,1,1,0,1,-0.14096918655443127,-1.0756959192959155,-0.49413826273105416,-0.09636713973637005,0.419208932866886,-0.2531222446153601
12428,0,0.0,0.0,1,0,0,1,0,0,1,0.20312437556593466,-0.2617475292863519,-0.49413826273105416,0.777457323178724,0.012642564360090026,0.32881616780897105
14780,1,1.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,-2.2966185043102603,-0.49413826273105416,2.3880357450222305,-0.6649680498179033,-0.8350606570396912
1213,0,0.0,1.0,0,0,0,0,0,0,1,0.5472179376863006,-0.2617475292863519,-0.49413826273105416,2.3452012125263924,-0.4842718860371051,1.783662198869799
7663,1,0.0,0.0,1,1,0,1,0,0,1,0.5472179376863006,0.14522666571842976,-0.0794206946782885,0.040703364250311354,-0.39392380414670597,-0.2531222446153601
366,1,0.0,0.0,1,0,1,1,1,0,1,-0.14096918655443127,-0.2617475292863519,0.7500144414272428,-0.9873254156497993,0.7354272194832829,1.4926929926576333
7071,0,1.0,0.0,1,0,0,0,0,1,1,-0.4850627486747972,2.1800976407423382,0.33529687337447717,-0.17346929822887835,-0.6197940088727037,0.03784696159680549
12899,1,0.0,0.0,0,0,1,0,1,0,1,-0.4850627486747972,-0.2617475292863519,0.7500144414272428,-0.8759556311606206,-0.2584016813111073,-0.5440914508275256
5580,1,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.6687217242911336,0.7500144414272428,-0.7988534726681122,-0.03253147658510953,-1.4169990694640224
4576,1,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,0.5522008607232115,1.1647320094800084,-0.2934059892172246,1.1871676289352784,1.4926929926576333
11712,0,0.0,1.0,1,0,1,1,0,1,1,0.8913114998066666,0.5522008607232115,1.1647320094800084,-0.25057145672138664,3.174825430524059,-1.4169990694640224
12760,0,0.0,1.0,1,0,0,1,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.49413826273105416,0.040703364250311354,0.5095570147572851,-1.1260298632518568
3433,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-1.0986952001389778,-0.6649680498179033,0.9107545802333022
10636,0,0.0,0.0,1,1,0,1,0,0,0,-0.14096918655443127,0.14522666571842976,-0.49413826273105416,-0.6018146231872578,-0.4390978450919055,0.9107545802333022
13192,1,0.0,0.0,1,1,0,0,0,0,1,1.5794986240473985,-1.0756959192959155,0.33529687337447717,0.34911199822034455,1.0968195470448794,-0.8350606570396912
8431,1,0.0,1.0,1,0,1,1,0,1,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.867388724661453,0.2836868100312874,-0.8350606570396912
5479,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-1.3300016756165027,-0.6197940088727037,-1.1260298632518568
14593,0,0.0,0.0,0,0,1,1,1,0,1,-0.4850627486747972,0.14522666571842976,1.1647320094800084,-0.6532160621822632,0.32886085097648693,-1.1260298632518568
13995,0,1.0,1.0,1,0,0,0,0,0,1,-0.14096918655443127,-2.7035926993150423,-0.49413826273105416,1.3428731521237847,-0.5746199679275041,0.9107545802333022
12446,1,0.0,1.0,1,0,1,1,0,0,1,1.2354050619270325,-0.6687217242911336,0.33529687337447717,-0.7474520336731068,0.825775301373682,0.32881616780897105
8554,1,0.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.5075786516964143,-0.6649680498179033,-0.2531222446153601
6817,0,0.0,0.0,1,1,0,1,0,0,1,0.20312437556593466,0.5522008607232115,-0.49413826273105416,-0.02783188774302935,-0.5746199679275041,-1.1260298632518568
7891,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,1.9941671455855396,-0.5589800906914199,1.0516455060996797,-0.8350606570396912
12,1,0.0,1.0,0,1,0,0,0,0,1,-0.4850627486747972,1.7731234457375566,-0.49413826273105416,0.4090803437145176,-0.39392380414670597,0.32881616780897105
1955,1,0.0,0.0,1,1,0,0,0,0,0,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.9958923221489668,-0.7553161317083024,-0.2531222446153601
11499,0,1.0,0.0,1,0,1,1,1,0,0,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.16490239172971075,0.37403489192168643,0.32881616780897105
6020,0,0.0,0.0,1,0,1,0,1,0,1,-0.14096918655443127,0.5522008607232115,0.7500144414272428,-0.4733110256997439,0.10299064625048913,0.9107545802333022
7533,0,0.0,0.0,1,0,1,1,0,1,1,-0.14096918655443127,-3.110566894319824,-0.49413826273105416,2.9791522934647943,0.05781660530528958,-0.5440914508275256
8911,0,0.0,0.0,1,0,0,1,0,0,1,-0.14096918655443127,0.14522666571842976,-0.0794206946782885,-0.4818779321989115,1.1871676289352784,-1.1260298632518568
13012,1,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.7046175011772688,0.012642564360090026,-0.5440914508275256
10221,1,1.0,1.0,1,1,0,1,0,0,1,0.5472179376863006,0.14522666571842976,-0.49413826273105416,1.0515983311520867,-0.4390978450919055,-0.2531222446153601
2826,1,0.0,0.0,1,0,1,1,0,0,1,-0.4850627486747972,2.58707183574712,-0.49413826273105416,-0.3790750542089005,-0.12287955847550863,1.2017237864454677
4696,1,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,1.1647320094800084,-1.0301599481456372,-0.5746199679275041,1.2017237864454677
1323,1,0.0,0.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.6687217242911336,0.7500144414272428,-0.8416880051639503,0.5999050966476842,0.32881616780897105
7653,0,0.0,0.0,0,0,0,1,0,0,1,-0.14096918655443127,0.14522666571842976,0.33529687337447717,0.46904868920869075,-0.21322764036590774,-1.1260298632518568
3181,1,0.0,0.0,1,1,0,1,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.28483908271805697,-0.07770551753030908,0.6197853740211366
437,0,0.0,0.0,1,0,1,1,0,0,1,-0.4850627486747972,-1.482670114300697,-0.49413826273105416,0.8031580426762267,0.46438297381208554,-0.5440914508275256
14755,0,0.0,0.0,1,0,1,1,1,0,1,-0.14096918655443127,-1.0756959192959155,-0.49413826273105416,-0.31910670871472735,0.2836868100312874,-0.5440914508275256
8160,0,0.0,0.0,1,1,0,1,0,0,1,-0.14096918655443127,0.5522008607232115,-0.49413826273105416,1.8654544485730076,-0.12287955847550863,-1.4169990694640224
14309,0,0.0,0.0,1,0,0,1,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,0.297710559225339,-0.5746199679275041,-0.8350606570396912
13808,0,0.0,1.0,1,1,0,1,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.19060311122721352,-0.30357572225630686,0.32881616780897105
6030,1,0.0,0.0,1,1,0,0,0,0,1,0.5472179376863006,-1.482670114300697,-0.49413826273105416,2.2766659605330517,-0.5294459269823046,-0.2531222446153601
4013,1,0.0,1.0,1,0,1,1,1,0,1,0.20312437556593466,0.9591750557279932,-0.0794206946782885,-0.6532160621822632,-0.4390978450919055,0.03784696159680549
11208,1,0.0,1.0,1,0,1,0,0,0,1,-0.14096918655443127,-1.482670114300697,0.33529687337447717,-0.04496570074136452,-0.4390978450919055,1.2017237864454677
9074,1,1.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,0.3062774657245066,-0.5746199679275041,-0.8350606570396912
8301,1,0.0,1.0,1,1,0,0,0,0,1,1.9235921861677643,0.5522008607232115,-0.0794206946782885,0.7603235101803888,1.0064714651544802,-0.8350606570396912
2957,1,1.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,1.5142112821071365,-0.4842718860371051,-0.5440914508275256
10706,0,0.0,0.0,0,1,1,0,1,0,1,2.2676857482881303,-0.6687217242911336,-0.0794206946782885,2.088194017551365,3.6717398809212543,1.783662198869799
7822,0,0.0,0.0,1,0,1,0,1,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.9444908831539612,-0.21322764036590774,1.4926929926576333
11848,1,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,1.7731234457375566,-0.49413826273105416,1.2914717131287792,-0.7101420907631029,0.6197853740211366
3431,0,0.0,0.0,1,0,0,1,0,0,1,0.5472179376863006,-1.482670114300697,-0.49413826273105416,2.0282256720571916,-0.5746199679275041,1.783662198869799
943,1,1.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.7645858466714419,-0.6649680498179033,-0.8350606570396912
11317,0,0.0,0.0,1,1,0,1,1,0,1,0.5472179376863006,0.9591750557279932,-0.0794206946782885,-0.010698074744694173,1.7744301612228728,-1.1260298632518568
12071,1,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-1.2100649846281566,-0.7553161317083024,0.32881616780897105
3430,1,0.0,0.0,1,0,0,0,0,0,1,0.5472179376863006,0.14522666571842976,0.33529687337447717,-0.6103815296864253,-0.5746199679275041,-1.4169990694640224
