index,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW
9299,0,0.0,0.0,1,0,1,0,1,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,0.6660875386895453,-0.4842718860371051,-1.4169990694640224
7128,0,0.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,0.10067170974448447,-0.800490172653502,-1.1260298632518568
10090,1,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.8588218181622854,-0.6649680498179033,0.32881616780897105
7905,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-2.7035926993150423,-0.49413826273105416,4.409825678825781,-0.39392380414670597,0.03784696159680549
4618,0,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.0794206946782885,-0.7303182206747716,-0.7101420907631029,-0.2531222446153601
15172,1,0.0,0.0,1,0,0,1,1,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-0.721751314175604,-0.4390978450919055,1.4926929926576333
511,1,0.0,0.0,1,1,1,0,1,0,1,-0.4850627486747972,0.14522666571842976,1.9941671455855396,-0.8074203791672798,2.135822488784469,-1.4169990694640224
12905,1,1.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.0794206946782885,-0.7560189401722743,-0.6649680498179033,0.32881616780897105
2889,0,1.0,0.0,1,1,0,0,0,0,1,0.20312437556593466,-0.2617475292863519,-0.49413826273105416,0.39194653071618246,-0.6197940088727037,0.32881616780897105
12217,0,0.0,0.0,0,0,0,0,0,0,1,0.20312437556593466,-0.6687217242911336,2.823602281691071,-0.3533743347113977,0.32886085097648693,-1.1260298632518568
2769,1,0.0,0.0,1,1,1,0,1,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,0.006435738253641004,-0.03253147658510953,1.2017237864454677
15174,0,0.0,0.0,1,1,1,0,1,0,1,0.20312437556593466,0.14522666571842976,-0.49413826273105416,-0.2934059892172246,0.6450791375928838,0.6197853740211366
12672,1,0.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,9.459083370535321,-0.22487073722388387,0.14816468719568868,-0.5440914508275256
7031,0,1.0,1.0,1,1,0,0,0,0,1,0.20312437556593466,0.9591750557279932,-0.49413826273105416,-0.07923332673803488,-0.800490172653502,-0.8350606570396912
10688,0,0.0,1.0,1,0,0,0,0,1,1,-0.14096918655443127,0.5522008607232115,-0.49413826273105416,-0.12206785923387282,-0.30357572225630686,1.783662198869799
738,1,1.0,0.0,1,0,0,1,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.0794206946782885,-0.8930894441589557,-0.4390978450919055,-1.1260298632518568
13079,0,1.0,0.0,1,0,0,0,0,0,1,1.2354050619270325,0.5522008607232115,-0.49413826273105416,0.8117249491753943,-0.5746199679275041,-0.8350606570396912
10258,1,1.0,0.0,1,0,0,1,0,0,1,-0.14096918655443127,0.14522666571842976,-0.49413826273105416,-0.430476493203906,-0.6197940088727037,-0.5440914508275256
9737,0,0.0,1.0,1,1,0,1,0,0,1,0.20312437556593466,-0.2617475292863519,-0.0794206946782885,-0.32767361521389493,-0.1680535994207082,0.32881616780897105
5997,0,1.0,0.0,1,0,0,0,0,1,1,-0.4850627486747972,-0.2617475292863519,-0.0794206946782885,-0.9530577896531288,-0.21322764036590774,1.2017237864454677
5714,1,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,2.58707183574712,-0.0794206946782885,-0.3533743347113977,0.32886085097648693,0.32881616780897105
11849,1,0.0,1.0,0,1,0,0,0,0,1,-0.4850627486747972,-2.7035926993150423,-0.0794206946782885,1.1287004896445951,-0.2584016813111073,0.6197853740211366
4334,0,0.0,0.0,0,1,1,0,1,0,1,-0.4850627486747972,1.3661492507327748,0.7500144414272428,-0.01926498124386176,0.6902531785380833,-0.5440914508275256
14072,1,1.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,0.8202918556745619,-0.800490172653502,-1.4169990694640224
4609,1,0.0,1.0,1,1,1,1,1,0,1,0.20312437556593466,0.5522008607232115,-0.49413826273105416,-0.010698074744694173,-0.6197940088727037,1.4926929926576333
66,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,0.33529687337447717,-0.6103815296864253,-0.12287955847550863,1.4926929926576333
11722,1,0.0,0.0,1,0,1,1,1,0,1,0.20312437556593466,-0.6687217242911336,-0.49413826273105416,-0.6789167816797661,0.5095570147572851,0.6197853740211366
11444,1,0.0,0.0,1,1,0,0,0,0,1,1.9235921861677643,1.7731234457375566,-0.49413826273105416,2.0710602045530297,-0.6649680498179033,1.783662198869799
7274,1,0.0,0.0,1,1,0,1,0,0,1,0.20312437556593466,0.9591750557279932,0.33529687337447717,0.6146860996945398,-0.1680535994207082,0.32881616780897105
7543,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.8502549116631178,-0.800490172653502,0.6197853740211366
4797,0,0.0,0.0,1,1,1,1,0,1,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.6789167816797661,0.6902531785380833,0.03784696159680549
5293,0,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-0.9016563506581233,0.5095570147572851,0.9107545802333022
6009,0,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-1.8896443093054787,-0.49413826273105416,0.9487954531620757,-0.6649680498179033,1.2017237864454677
7005,0,0.0,1.0,1,0,0,1,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.3619412412105653,-0.5294459269823046,1.783662198869799
3131,0,0.0,0.0,1,1,0,1,1,0,1,0.20312437556593466,1.3661492507327748,-0.49413826273105416,-0.6960505946781013,-0.30357572225630686,-0.2531222446153601
7257,1,0.0,0.0,1,1,0,1,0,0,1,0.20312437556593466,-1.0756959192959155,-0.49413826273105416,-0.31910670871472735,-0.6649680498179033,0.03784696159680549
2174,0,0.0,0.0,0,1,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,0.9573623596612433,-0.6197940088727037,1.783662198869799
8154,1,0.0,0.0,1,1,1,0,0,0,1,-0.14096918655443127,-0.2617475292863519,-0.0794206946782885,-0.3790750542089005,1.0064714651544802,-1.4169990694640224
13742,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-1.0472937611439723,-0.6649680498179033,-1.4169990694640224
14273,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,-1.0756959192959155,0.33529687337447717,-0.4219095867047384,-0.6197940088727037,-1.1260298632518568
7409,1,0.0,1.0,1,0,1,1,1,0,1,0.5472179376863006,0.14522666571842976,-0.49413826273105416,1.3942745911187904,0.32886085097648693,0.32881616780897105
15542,1,1.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.0794206946782885,-1.0387268546448047,-0.4842718860371051,-1.1260298632518568
1977,1,0.0,0.0,1,0,0,0,0,0,1,-0.14096918655443127,0.5522008607232115,-0.49413826273105416,0.09210480324531689,-0.7101420907631029,0.32881616780897105
13922,0,0.0,1.0,1,1,0,1,0,0,1,-0.14096918655443127,1.7731234457375566,-0.49413826273105416,-0.2677052697197218,-0.6649680498179033,-0.2531222446153601
1873,1,0.0,0.0,1,0,0,0,0,0,1,0.20312437556593466,-0.6687217242911336,-0.49413826273105416,0.17777386823699276,-0.800490172653502,-0.2531222446153601
2984,0,0.0,0.0,1,0,1,0,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,-0.3705081477097329,-0.21322764036590774,-0.8350606570396912
8315,1,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.18203620472804594,0.5095570147572851,0.9107545802333022
1904,1,0.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-0.9530577896531288,-0.5746199679275041,-0.8350606570396912
12927,0,0.0,0.0,1,0,1,1,1,0,1,0.20312437556593466,0.5522008607232115,0.7500144414272428,-0.4476103062022412,1.548559956496875,-0.5440914508275256
14396,0,0.0,1.0,1,1,0,1,0,0,1,-0.14096918655443127,-2.7035926993150423,-0.49413826273105416,0.07497099024698171,-0.4390978450919055,1.2017237864454677
15532,1,1.0,1.0,0,0,0,0,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.2762721762188894,-0.21322764036590774,1.4926929926576333
8981,0,1.0,1.0,1,1,1,1,1,0,1,0.20312437556593466,-0.6687217242911336,-0.0794206946782885,0.32341127872284176,2.3165186525652675,-1.1260298632518568
15259,1,1.0,0.0,1,0,0,0,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,2.9705853869656265,-0.6649680498179033,0.32881616780897105
13844,0,1.0,0.0,1,0,0,0,0,0,1,-0.14096918655443127,0.5522008607232115,0.33529687337447717,-0.5846808101889226,-0.6649680498179033,0.03784696159680549
7143,1,0.0,0.0,1,0,1,0,1,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.6703498751805984,-0.21322764036590774,-0.2531222446153601
14610,0,0.0,0.0,1,1,1,1,1,0,1,-0.4850627486747972,0.14522666571842976,-0.49413826273105416,-0.8074203791672798,0.32886085097648693,-0.8350606570396912
5924,0,0.0,0.0,1,1,1,1,1,0,1,1.2354050619270325,0.9591750557279932,-0.0794206946782885,0.17777386823699276,1.0064714651544802,1.2017237864454677
1694,1,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.14522666571842976,0.33529687337447717,-1.1329628261356481,2.4068667344556665,0.32881616780897105
9886,0,1.0,0.0,0,0,0,0,0,0,1,0.8913114998066666,0.14522666571842976,-0.49413826273105416,3.4674659639173466,-0.5294459269823046,-0.2531222446153601
1671,0,0.0,0.0,1,0,1,1,1,0,1,0.5472179376863006,0.9591750557279932,0.7500144414272428,0.0835378967461493,3.9427841265924513,-1.4169990694640224
13077,0,0.0,0.0,1,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,-1.05586066764314,-0.7553161317083024,-0.2531222446153601
4823,1,0.0,1.0,1,1,0,1,1,0,1,2.2676857482881303,0.14522666571842976,0.33529687337447717,0.42621415671285284,1.0516455060996797,-0.8350606570396912
2203,0,0.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,0.5522008607232115,-0.49413826273105416,2.3880357450222305,-0.6649680498179033,1.4926929926576333
14098,1,1.0,0.0,0,0,0,1,0,0,1,1.5794986240473985,-0.6687217242911336,-0.0794206946782885,0.7688904166795564,-0.03253147658510953,0.32881616780897105
5344,1,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.49413826273105416,-1.1415297326348157,-0.7101420907631029,0.9107545802333022
5902,0,0.0,1.0,1,1,1,1,0,1,1,-0.4850627486747972,-3.110566894319824,-0.0794206946782885,1.3257393391254495,3.265173512414458,0.03784696159680549
11408,1,0.0,0.0,1,0,0,0,0,1,1,-0.4850627486747972,-0.2617475292863519,-0.0794206946782885,1.4713767496112986,0.19333872814088823,-1.4169990694640224
2028,0,0.0,0.0,1,1,1,1,1,0,1,-0.14096918655443127,0.9591750557279932,0.7500144414272428,-0.16490239172971075,0.7354272194832829,-0.5440914508275256
2682,0,1.0,0.0,1,0,1,1,1,0,1,0.8913114998066666,0.14522666571842976,1.1647320094800084,-0.19060311122721352,1.1419935879900789,-1.1260298632518568
13684,1,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,0.9591750557279932,-0.49413826273105416,-0.18203620472804594,0.5095570147572851,0.9107545802333022
4374,0,0.0,0.0,0,0,0,0,0,0,0,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,-0.2163038307247163,-0.7101420907631029,-1.4169990694640224
12739,1,1.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.2617475292863519,-0.0794206946782885,3.7159062523932067,-0.6197940088727037,0.6197853740211366
492,0,1.0,1.0,0,0,0,0,0,0,0,0.20312437556593466,-0.6687217242911336,-0.49413826273105416,0.10067170974448447,-0.4842718860371051,0.6197853740211366
15384,0,0.0,0.0,1,0,1,0,1,0,1,0.5472179376863006,0.5522008607232115,-0.49413826273105416,-0.4219095867047384,0.05781660530528958,-0.8350606570396912
5388,1,0.0,1.0,1,0,0,0,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.0794206946782885,-0.6018146231872578,-0.39392380414670597,1.4926929926576333
3280,1,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,1.1647320094800084,-0.9016563506581233,-0.30357572225630686,0.32881616780897105
3189,1,0.0,0.0,1,0,0,1,0,0,1,-0.14096918655443127,0.14522666571842976,-0.49413826273105416,-0.2677052697197218,-0.5746199679275041,-0.5440914508275256
1968,1,0.0,0.0,0,1,0,0,0,0,1,-0.4850627486747972,-1.0756959192959155,-0.49413826273105416,0.06640408374781412,-0.6649680498179033,0.9107545802333022
3086,1,0.0,0.0,1,1,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.0794206946782885,-1.115829013137313,-0.6197940088727037,-1.1260298632518568
6180,1,0.0,0.0,0,0,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.7645858466714419,-0.4390978450919055,1.4926929926576333
6859,0,0.0,0.0,1,0,1,1,1,0,1,0.8913114998066666,-2.2966185043102603,-0.0794206946782885,1.2229364611354385,0.419208932866886,1.783662198869799
519,1,0.0,0.0,1,0,0,1,0,0,1,-0.4850627486747972,-1.482670114300697,-0.49413826273105416,-0.9787585091506317,-0.6197940088727037,1.4926929926576333
790,0,1.0,0.0,1,1,0,0,0,0,1,-0.14096918655443127,-0.6687217242911336,-0.49413826273105416,0.546150847701199,-0.7101420907631029,-0.2531222446153601
11951,1,0.0,0.0,1,0,1,0,0,0,1,3.9881535588899597,-0.6687217242911336,1.1647320094800084,0.28057674622700385,1.2775157108256776,0.32881616780897105
6765,1,0.0,0.0,1,0,0,0,1,0,1,0.20312437556593466,0.5522008607232115,-0.49413826273105416,4.127117764353251,-0.6649680498179033,0.03784696159680549
2814,0,0.0,1.0,1,0,1,1,1,0,1,-0.4850627486747972,-0.2617475292863519,0.33529687337447717,-0.8074203791672798,0.5999050966476842,-0.5440914508275256
15894,0,0.0,0.0,0,0,0,1,0,0,1,-0.14096918655443127,0.14522666571842976,0.33529687337447717,0.46904868920869075,-0.21322764036590774,-1.1260298632518568
5996,0,0.0,0.0,0,1,0,0,0,0,1,-0.4850627486747972,-0.6687217242911336,-0.49413826273105416,-0.5247124646947494,-0.4390978450919055,1.4926929926576333
