index,label
9299,0.0
7128,1.0
10090,1.0
7905,1.0
4618,0.0
15172,1.0
511,0.0
12905,1.0
2889,1.0
12217,0.0
2769,1.0
15174,0.0
12672,1.0
7031,1.0
10688,0.0
738,0.0
13079,0.0
10258,1.0
9737,0.0
5997,0.0
5714,1.0
11849,1.0
4334,0.0
14072,1.0
4609,0.0
66,1.0
11722,0.0
11444,1.0
7274,1.0
7543,1.0
4797,1.0
5293,0.0
6009,1.0
7005,1.0
3131,1.0
7257,0.0
2174,1.0
8154,0.0
13742,1.0
14273,1.0
7409,1.0
15542,1.0
1977,1.0
13922,1.0
1873,0.0
2984,1.0
8315,1.0
1904,1.0
12927,0.0
14396,1.0
15532,0.0
8981,0.0
15259,1.0
13844,0.0
7143,0.0
14610,0.0
5924,1.0
1694,0.0
9886,0.0
1671,0.0
13077,0.0
4823,0.0
2203,1.0
14098,1.0
5344,0.0
5902,1.0
11408,0.0
2028,1.0
2682,1.0
13684,1.0
4374,1.0
12739,1.0
492,1.0
15384,1.0
5388,1.0
3280,1.0
3189,1.0
1968,1.0
3086,1.0
6180,1.0
6859,1.0
519,0.0
790,0.0
11951,0.0
6765,0.0
2814,1.0
15894,1.0
5996,1.0
4050,0.0
2813,1.0
15413,1.0
9185,1.0
15986,1.0
559,1.0
6035,1.0
10999,0.0
3959,1.0
598,0.0
4263,1.0
7550,1.0
10407,1.0
12650,0.0
843,0.0
2067,1.0
10933,0.0
71,0.0
2655,0.0
4537,1.0
10918,0.0
14388,1.0
7691,1.0
1255,1.0
12200,1.0
8324,0.0
5929,1.0
930,1.0
6082,1.0
2611,1.0
7802,1.0
1025,1.0
2965,0.0
10492,1.0
1491,1.0
2768,1.0
10851,1.0
5940,0.0
5524,1.0
9452,1.0
381,1.0
13987,1.0
10086,1.0
14640,1.0
1599,1.0
2114,0.0
9991,1.0
9754,0.0
626,1.0
5706,1.0
9137,1.0
9408,0.0
9929,0.0
4880,0.0
3593,1.0
6556,0.0
11834,1.0
9714,0.0
14628,1.0
11243,1.0
33,1.0
8307,1.0
3498,1.0
10311,1.0
13704,1.0
10894,1.0
4681,0.0
5401,1.0
9060,1.0
5830,1.0
10562,1.0
7474,1.0
8707,0.0
9085,1.0
8056,1.0
6301,1.0
3510,1.0
11945,0.0
7739,1.0
9657,1.0
7192,1.0
12469,0.0
10567,0.0
14212,1.0
5795,1.0
5345,0.0
7310,1.0
363,1.0
12837,0.0
13924,0.0
12389,0.0
14189,1.0
1260,0.0
12888,0.0
9733,0.0
11976,0.0
5235,1.0
4305,1.0
12712,1.0
10179,1.0
1032,0.0
699,1.0
12697,1.0
12390,1.0
2047,0.0
49,0.0
15744,1.0
1426,1.0
7209,0.0
1816,1.0
11567,1.0
9584,0.0
14657,1.0
13334,1.0
8406,1.0
10193,1.0
6044,0.0
9742,0.0
13471,0.0
186,0.0
12633,1.0
959,0.0
14509,1.0
11927,0.0
13769,1.0
15338,1.0
6667,0.0
2648,0.0
13222,1.0
9894,1.0
303,1.0
15762,1.0
9970,0.0
3523,0.0
12569,1.0
11259,1.0
13595,1.0
6807,1.0
11003,1.0
11275,0.0
9037,1.0
3539,1.0
3122,0.0
6812,1.0
5109,1.0
3134,1.0
5111,1.0
12955,0.0
2499,0.0
1896,0.0
11490,1.0
9965,1.0
5606,1.0
11996,0.0
630,0.0
368,1.0
1045,0.0
4239,0.0
8407,1.0
2476,1.0
9751,1.0
12394,1.0
6574,1.0
10508,1.0
767,0.0
14355,1.0
951,0.0
3733,0.0
6037,0.0
14320,1.0
10871,1.0
7533,1.0
11299,1.0
2939,1.0
3940,1.0
1946,1.0
9158,0.0
13655,0.0
7734,0.0
989,1.0
11885,0.0
13112,1.0
11062,1.0
7643,1.0
8202,1.0
15484,1.0
14896,1.0
4873,0.0
13392,1.0
6364,0.0
12947,1.0
8667,1.0
5081,0.0
3318,1.0
1427,0.0
10988,0.0
862,0.0
9,0.0
4801,1.0
5861,1.0
1106,0.0
8177,1.0
4808,0.0
13779,1.0
6995,1.0
4599,1.0
3674,0.0
15252,0.0
5729,0.0
8601,1.0
8586,1.0
1577,1.0
12945,0.0
3238,1.0
7926,1.0
15470,1.0
11017,1.0
577,1.0
867,0.0
2123,1.0
7298,1.0
4206,1.0
9382,0.0
9619,1.0
9354,1.0
11630,1.0
2312,1.0
4422,1.0
9601,1.0
5943,1.0
14878,0.0
1589,0.0
13326,1.0
15385,1.0
3778,0.0
4296,1.0
8002,0.0
14755,1.0
7353,0.0
11245,0.0
1513,0.0
1874,1.0
504,1.0
6987,1.0
10939,0.0
7561,0.0
14423,0.0
9646,1.0
294,1.0
12823,0.0
2623,1.0
13765,0.0
5886,0.0
7652,0.0
13111,0.0
402,1.0
13310,1.0
7786,1.0
447,1.0
3649,1.0
7246,1.0
13645,0.0
3398,0.0
10232,1.0
12294,1.0
878,1.0
