index,age,priors_count,length_of_stay,isMale,isCaucasian,c_charge_degree_F
7226,0.7216378602584075,0.5804591560353272,-0.12041953132908237,1,1,1
629,-1.1537449263466486,-0.6843577587219684,-0.31316573137137915,1,0,0
1522,-0.9832555821098254,-0.2627521204695365,-0.20608450912565873,1,0,0
4873,-0.6422768936361789,0.15885351778289533,-0.31316573137137915,0,0,1
6586,1.574084581442524,0.5804591560353272,-0.09900328687993828,0,1,1
3090,-0.8127662378730022,-0.4735549395957524,-0.29174948692223507,1,0,1
8619,-0.5570322215177672,-0.6843577587219684,-0.31316573137137915,1,1,1
5960,1.744573925679347,-0.6843577587219684,-0.31316573137137915,1,1,0
7023,-0.8127662378730022,-0.2627521204695365,-0.12041953132908237,1,1,1
10289,0.12492515542952594,-0.6843577587219684,0.4792353132469521,1,1,1
1146,-0.7275215657545905,0.15885351778289533,1.4643825579075802,1,0,1
2231,-0.8980109099914138,1.8452760707926226,0.45781906879780804,1,0,0
8308,-0.6422768936361789,0.5804591560353272,-0.31316573137137915,1,0,1
7611,0.9773718766136423,4.796515538559645,3.263347091635684,1,1,1
5053,-1.1537449263466486,-0.4735549395957524,0.1151591576115026,1,0,1
1399,-0.4717875493993556,-0.2627521204695365,-0.29174948692223507,1,1,1
2205,-0.9832555821098254,-0.6843577587219684,-0.29174948692223507,0,0,0
10313,-0.21605353304412062,0.15885351778289533,-0.2489169980239469,1,0,1
7344,-0.8127662378730022,-0.2627521204695365,-0.29174948692223507,1,0,1
3902,-0.7275215657545905,0.36965633690911126,-0.31316573137137915,1,1,0
3603,-0.38654287728094394,0.5804591560353272,-0.29174948692223507,1,0,1
7022,-0.8127662378730022,-0.6843577587219684,-0.29174948692223507,1,0,0
5978,-0.5570322215177672,0.36965633690911126,0.41498657989951987,1,0,1
10824,-0.9832555821098254,-0.4735549395957524,0.2864891132046553,0,0,1
6695,-0.21605353304412062,0.36965633690911126,-0.12041953132908237,1,0,1
1667,-1.2389895984650603,-0.6843577587219684,-0.31316573137137915,1,1,0
10097,-0.8127662378730022,-0.05194930134332058,-0.20608450912565873,1,0,1
9888,0.3806591717847609,1.002064794287759,0.5434840465943844,1,0,1
3997,-0.045564188807297346,-0.6843577587219684,4.848149180872347,1,0,1
5598,-0.7275215657545905,-0.4735549395957524,-0.31316573137137915,1,0,1
3014,-1.0685002542282371,-0.4735549395957524,-0.31316573137137915,1,0,1
1483,0.039680483311114303,-0.4735549395957524,-0.12041953132908237,1,0,0
407,-1.0685002542282371,-0.05194930134332058,-0.29174948692223507,1,0,0
1917,2.000307942034582,-0.2627521204695365,-0.22750075357480282,1,1,1
5741,-0.6422768936361789,-0.6843577587219684,-0.29174948692223507,1,1,0
3890,0.2101698275479376,1.6344732516664067,-0.29174948692223507,1,0,1
9336,-0.7275215657545905,0.36965633690911126,-0.31316573137137915,1,0,1
2078,0.7216378602584075,0.15885351778289533,-0.270333242473091,1,1,1
6511,-0.4717875493993556,-0.4735549395957524,1.8070424690938858,1,0,0
10553,-0.5570322215177672,2.0560788899188385,-0.29174948692223507,1,0,1
2602,1.062616548732054,0.5804591560353272,-0.20608450912565873,1,0,1
5189,0.3806591717847609,-0.4735549395957524,0.5220678021452403,0,1,1
2512,-0.38654287728094394,3.7425014429285657,-0.29174948692223507,1,0,1
1195,0.2101698275479376,-0.05194930134332058,0.2864891132046553,0,0,1
2485,-0.30129820516253225,-0.2627521204695365,-0.29174948692223507,0,0,1
7744,1.574084581442524,1.002064794287759,-0.22750075357480282,1,1,0
1543,-0.6422768936361789,1.6344732516664067,-0.270333242473091,1,0,0
6813,0.8921272044952308,-0.6843577587219684,-0.33458197582052324,1,0,0
2332,1.8298185977977588,-0.6843577587219684,-0.33458197582052324,1,1,1
5500,3.193733351692345,0.7912619751615431,-0.33458197582052324,1,1,1
10769,1.4888399093241123,-0.4735549395957524,-0.29174948692223507,1,1,0
9166,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,1,0,1
4783,-0.30129820516253225,-0.4735549395957524,-0.31316573137137915,1,1,1
8899,-0.045564188807297346,0.36965633690911126,0.22224037985722306,0,0,1
526,-1.1537449263466486,-0.6843577587219684,-0.31316573137137915,0,1,1
5856,0.3806591717847609,3.320895804676134,3.5203420250254127,1,0,1
6957,-0.6422768936361789,-0.05194930134332058,-0.12041953132908237,1,0,1
6595,0.4659038439031725,-0.6843577587219684,-0.29174948692223507,1,0,1
1941,-0.5570322215177672,-0.6843577587219684,-0.31316573137137915,1,0,0
99,-0.13080886092570898,-0.6843577587219684,-0.29174948692223507,1,0,0
5479,-1.0685002542282371,-0.05194930134332058,0.39357033545037573,1,0,1
10536,-0.7275215657545905,1.002064794287759,-0.29174948692223507,1,0,1
1187,-1.1537449263466486,-0.2627521204695365,-0.20608450912565873,1,1,1
4661,0.7216378602584075,1.002064794287759,-0.29174948692223507,1,0,0
2880,1.3183505650872889,1.002064794287759,3.370428313881404,1,1,1
6239,1.4035952372057006,-0.05194930134332058,-0.2489169980239469,1,0,1
1870,-1.2389895984650603,-0.6843577587219684,-0.33458197582052324,1,0,1
10572,-0.5570322215177672,3.53169862380235,-0.31316573137137915,1,0,1
8245,0.29541449966634925,-0.6843577587219684,-0.31316573137137915,0,1,0
8863,-0.30129820516253225,0.36965633690911126,0.4792353132469521,1,0,1
4961,-0.6422768936361789,-0.6843577587219684,-0.29174948692223507,1,0,1
729,2.0855526141529936,-0.4735549395957524,-0.31316573137137915,1,1,1
3907,2.7675099911002867,-0.6843577587219684,-0.31316573137137915,1,0,1
4934,-0.7275215657545905,-0.6843577587219684,-0.29174948692223507,1,1,0
2837,2.000307942034582,-0.05194930134332058,0.07232666871321443,0,0,0
9724,2.511775974745052,-0.6843577587219684,-0.22750075357480282,0,0,1
10185,-0.5570322215177672,-0.6843577587219684,-0.20608450912565873,1,0,0
1669,-0.38654287728094394,0.36965633690911126,-0.16325202022737056,0,1,1
2479,-0.30129820516253225,1.002064794287759,-0.31316573137137915,1,0,0
7356,-1.1537449263466486,-0.6843577587219684,-0.29174948692223507,1,0,0
7920,-1.0685002542282371,-0.6843577587219684,-0.31316573137137915,1,0,1
7640,0.2101698275479376,-0.4735549395957524,-0.14183577577822645,1,1,1
8125,-0.9832555821098254,-0.6843577587219684,-0.31316573137137915,1,1,1
2856,-0.7275215657545905,0.5804591560353272,-0.29174948692223507,1,0,1
2671,-0.4717875493993556,0.7912619751615431,-0.270333242473091,1,0,1
8456,0.2101698275479376,-0.05194930134332058,1.400133824560148,1,0,0
7983,-0.8980109099914138,-0.2627521204695365,-0.2489169980239469,1,0,0
1145,-1.0685002542282371,-0.2627521204695365,-0.29174948692223507,1,0,1
5761,0.2101698275479376,-0.6843577587219684,-0.31316573137137915,1,1,1
10065,-0.7275215657545905,-0.4735549395957524,-0.31316573137137915,1,1,0
6156,0.2101698275479376,0.15885351778289533,-0.31316573137137915,1,1,0
611,1.8298185977977588,0.36965633690911126,-0.05617079798165011,1,0,1
2193,-0.6422768936361789,0.5804591560353272,-0.29174948692223507,0,1,1
1833,-0.8980109099914138,-0.6843577587219684,-0.31316573137137915,1,0,1
1904,-0.21605353304412062,-0.4735549395957524,-0.33458197582052324,1,0,1
404,-0.8127662378730022,-0.6843577587219684,-0.31316573137137915,1,1,1
2575,-0.045564188807297346,-0.4735549395957524,-0.05617079798165011,0,1,1
3322,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,1,0,1
178,-0.13080886092570898,5.218121176812077,-0.29174948692223507,1,0,1
3394,-1.1537449263466486,-0.05194930134332058,2.40669731366992,1,1,1
2562,-0.7275215657545905,0.7912619751615431,-0.29174948692223507,1,0,0
8959,-0.13080886092570898,0.7912619751615431,2.1711186247293353,1,0,1
5677,2.4265313026266404,1.4236704325401908,-0.270333242473091,1,1,1
6824,0.9773718766136423,2.0560788899188385,2.7065247359579376,1,0,1
9569,-0.38654287728094394,-0.6843577587219684,-0.31316573137137915,1,1,0
4328,-0.9832555821098254,-0.6843577587219684,-0.270333242473091,1,0,1
9171,0.2101698275479376,-0.6843577587219684,-0.31316573137137915,1,0,0
3183,0.6363931881399958,-0.4735549395957524,-0.29174948692223507,1,0,1
9641,1.9150632699161705,-0.2627521204695365,-0.12041953132908237,1,1,1
8258,-0.7275215657545905,0.5804591560353272,-0.270333242473091,1,0,1
5078,-0.6422768936361789,-0.4735549395957524,-0.20608450912565873,1,0,1
8016,-0.4717875493993556,0.5804591560353272,0.15799164650979078,1,0,1
6857,-0.5570322215177672,-0.6843577587219684,-0.31316573137137915,0,0,0
7703,-0.5570322215177672,-0.2627521204695365,-0.270333242473091,1,0,1
9741,-1.1537449263466486,-0.4735549395957524,-0.29174948692223507,1,0,1
5551,0.29541449966634925,1.6344732516664067,0.07232666871321443,1,0,1
5792,0.039680483311114303,-0.4735549395957524,-0.22750075357480282,1,1,0
7445,-0.30129820516253225,-0.4735549395957524,0.05091042426407034,1,0,1
10920,-0.045564188807297346,0.15885351778289533,-0.29174948692223507,1,1,1
6463,-0.30129820516253225,2.4776845281712703,-0.33458197582052324,1,0,1
5826,0.8921272044952308,-0.6843577587219684,0.4792353132469521,1,1,1
8425,1.9150632699161705,2.688487347297486,-0.05617079798165011,1,0,0
8609,-0.8127662378730022,-0.2627521204695365,-0.31316573137137915,1,0,1
265,-0.5570322215177672,0.5804591560353272,-0.31316573137137915,1,0,0
2737,-0.7275215657545905,1.2128676134139749,-0.270333242473091,1,0,1
10019,-0.9832555821098254,-0.05194930134332058,-0.18466826467651465,1,0,1
10522,2.7675099911002867,-0.6843577587219684,-0.31316573137137915,0,1,0
3455,-0.8127662378730022,-0.4735549395957524,-0.22750075357480282,0,0,1
9076,-0.30129820516253225,-0.4735549395957524,-0.29174948692223507,0,0,0
1560,1.744573925679347,-0.4735549395957524,-0.29174948692223507,1,0,1
7305,2.000307942034582,-0.6843577587219684,-0.29174948692223507,0,0,1
1438,-0.7275215657545905,-0.6843577587219684,-0.31316573137137915,0,1,1
5279,-0.8980109099914138,-0.6843577587219684,-0.29174948692223507,1,0,0
8890,-0.38654287728094394,-0.6843577587219684,-0.29174948692223507,1,0,1
669,-1.2389895984650603,-0.4735549395957524,-0.29174948692223507,1,0,1
3552,-0.5570322215177672,-0.6843577587219684,-0.03475455353250602,1,1,0
8294,1.8298185977977588,-0.6843577587219684,-0.31316573137137915,0,1,0
5347,0.6363931881399958,0.36965633690911126,-0.270333242473091,1,0,1
8471,-0.9832555821098254,-0.2627521204695365,-0.29174948692223507,1,0,1
10694,0.9773718766136423,-0.2627521204695365,-0.29174948692223507,1,0,0
10595,0.3806591717847609,-0.6843577587219684,-0.31316573137137915,1,1,0
6107,-0.8980109099914138,-0.6843577587219684,-0.29174948692223507,0,1,1
5067,-0.8980109099914138,-0.2627521204695365,-0.29174948692223507,0,0,1
8484,-1.0685002542282371,-0.6843577587219684,-0.31316573137137915,1,1,0
7082,0.039680483311114303,-0.6843577587219684,-0.31316573137137915,1,0,1
7823,0.8921272044952308,-0.6843577587219684,-0.31316573137137915,0,1,1
573,-0.5570322215177672,-0.4735549395957524,-0.29174948692223507,1,0,0
1257,-1.0685002542282371,-0.4735549395957524,-0.29174948692223507,1,0,0
856,0.5511485160215842,-0.4735549395957524,-0.18466826467651465,1,1,1
3359,-0.30129820516253225,2.4776845281712703,-0.270333242473091,1,0,1
8639,-1.1537449263466486,-0.2627521204695365,-0.05617079798165011,0,0,1
8984,-0.045564188807297346,-0.6843577587219684,1.3144688467635717,1,0,0
2541,0.8921272044952308,-0.4735549395957524,-0.33458197582052324,1,1,1
722,0.2101698275479376,-0.05194930134332058,-0.18466826467651465,1,1,1
10232,0.3806591717847609,-0.2627521204695365,-0.29174948692223507,1,0,0
9209,-0.8127662378730022,-0.2627521204695365,-0.31316573137137915,1,0,1
6585,-0.4717875493993556,-0.05194930134332058,-0.31316573137137915,1,0,1
7348,0.29541449966634925,-0.6843577587219684,-0.29174948692223507,1,0,0
9959,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,0,0,0
6075,-0.4717875493993556,1.8452760707926226,-0.05617079798165011,1,0,1
1533,0.3806591717847609,-0.4735549395957524,-0.22750075357480282,1,0,1
4998,-0.13080886092570898,-0.4735549395957524,-0.31316573137137915,1,1,1
6198,1.2331058929688774,-0.05194930134332058,-0.31316573137137915,1,1,1
5890,-0.6422768936361789,-0.6843577587219684,-0.31316573137137915,1,0,0
10907,-0.38654287728094394,-0.05194930134332058,-0.31316573137137915,0,1,1
4310,-1.1537449263466486,-0.4735549395957524,-0.20608450912565873,1,1,1
882,1.3183505650872889,0.36965633690911126,-0.29174948692223507,1,1,1
2442,-0.8980109099914138,1.002064794287759,-0.31316573137137915,1,0,1
6536,2.0855526141529936,-0.05194930134332058,-0.270333242473091,1,1,0
687,-1.2389895984650603,-0.6843577587219684,0.15799164650979078,1,0,1
1397,2.4265313026266404,-0.05194930134332058,4.39840804744032,1,0,0
1853,0.29541449966634925,-0.6843577587219684,3.070600891593387,1,1,1
8527,1.3183505650872889,0.7912619751615431,-0.16325202022737056,0,1,0
7205,-0.6422768936361789,-0.6843577587219684,0.6933977577383931,1,1,1
9676,0.2101698275479376,-0.2627521204695365,3.3061795805339718,1,0,1
4668,2.597020646863464,-0.4735549395957524,-0.33458197582052324,0,1,1
2673,-0.9832555821098254,-0.4735549395957524,-0.270333242473091,1,0,1
9787,-1.1537449263466486,-0.6843577587219684,-0.22750075357480282,0,0,1
1606,-0.30129820516253225,-0.6843577587219684,-0.270333242473091,0,0,1
10594,-0.21605353304412062,-0.4735549395957524,-0.31316573137137915,0,0,1
8396,-0.6422768936361789,0.7912619751615431,0.41498657989951987,1,0,1
6488,1.3183505650872889,-0.6843577587219684,-0.29174948692223507,0,1,0
8428,0.12492515542952594,0.7912619751615431,-0.16325202022737056,0,1,1
5760,0.29541449966634925,-0.6843577587219684,-0.31316573137137915,1,1,0
10326,0.5511485160215842,2.0560788899188385,-0.31316573137137915,1,0,1
10893,2.000307942034582,1.002064794287759,-0.29174948692223507,1,1,0
2610,1.4035952372057006,-0.4735549395957524,3.1562658693899635,1,0,1
9753,-0.30129820516253225,-0.4735549395957524,-0.31316573137137915,1,0,0
5411,-1.1537449263466486,-0.4735549395957524,-0.29174948692223507,1,0,1
10064,1.4035952372057006,-0.6843577587219684,-0.20608450912565873,1,0,0
5877,0.039680483311114303,1.002064794287759,4.805316691974058,1,0,1
678,1.3183505650872889,-0.05194930134332058,-0.33458197582052324,0,0,1
10307,-0.30129820516253225,0.5804591560353272,0.22224037985722306,1,0,1
1702,-0.13080886092570898,2.688487347297486,-0.31316573137137915,1,0,1
893,-0.30129820516253225,-0.6843577587219684,-0.31316573137137915,1,0,0
10211,-0.9832555821098254,-0.6843577587219684,-0.31316573137137915,0,0,0
804,-1.2389895984650603,-0.6843577587219684,-0.31316573137137915,1,0,1
10571,-1.1537449263466486,-0.05194930134332058,-0.29174948692223507,1,1,1
4469,2.000307942034582,-0.6843577587219684,-0.31316573137137915,1,1,0
9004,-0.9832555821098254,-0.6843577587219684,-0.31316573137137915,1,0,1
1109,0.8921272044952308,-0.6843577587219684,-0.270333242473091,1,0,1
8399,-0.5570322215177672,3.110092985549918,-0.31316573137137915,1,0,1
4682,-0.6422768936361789,-0.4735549395957524,-0.31316573137137915,1,1,0
3407,1.574084581442524,-0.4735549395957524,-0.29174948692223507,1,1,0
9322,-1.2389895984650603,-0.4735549395957524,3.6916719806185654,1,0,1
4857,-0.30129820516253225,-0.6843577587219684,-0.31316573137137915,0,0,1
206,-0.4717875493993556,1.4236704325401908,-0.16325202022737056,0,1,1
1076,0.9773718766136423,-0.2627521204695365,0.09374291316235851,0,1,1
6999,-1.0685002542282371,-0.6843577587219684,-0.33458197582052324,1,0,1
6000,-0.9832555821098254,-0.6843577587219684,-0.270333242473091,0,0,1
7542,2.6822653189818753,1.6344732516664067,-0.20608450912565873,0,0,1
4080,-0.9832555821098254,-0.6843577587219684,-0.29174948692223507,1,0,1
98,-0.6422768936361789,0.5804591560353272,0.3293216021029435,1,0,1
3821,0.8921272044952308,-0.2627521204695365,-0.0775870424307942,0,0,1
2163,-0.045564188807297346,-0.6843577587219684,-0.31316573137137915,1,1,1
9364,1.3183505650872889,2.4776845281712703,-0.29174948692223507,1,0,0
9191,1.4888399093241123,-0.2627521204695365,0.39357033545037573,1,0,1
3319,0.4659038439031725,-0.6843577587219684,-0.29174948692223507,0,1,1
10021,-0.8980109099914138,-0.6843577587219684,-0.31316573137137915,1,1,1
441,-0.8980109099914138,-0.6843577587219684,-0.29174948692223507,1,0,1
1626,-0.7275215657545905,-0.6843577587219684,-0.29174948692223507,1,0,1
9865,-0.38654287728094394,1.2128676134139749,-0.29174948692223507,1,0,0
9750,-0.8980109099914138,-0.6843577587219684,-0.29174948692223507,1,0,1
4457,-0.38654287728094394,0.36965633690911126,3.541758269474557,1,0,1
4743,0.039680483311114303,0.36965633690911126,-0.31316573137137915,1,0,1
993,0.3806591717847609,-0.2627521204695365,-0.22750075357480282,1,1,1
10931,-0.5570322215177672,-0.4735549395957524,-0.31316573137137915,1,0,1
10110,0.5511485160215842,0.7912619751615431,-0.29174948692223507,0,0,1
9159,1.3183505650872889,-0.2627521204695365,-0.12041953132908237,1,1,1
1222,-0.38654287728094394,2.899290166423702,-0.22750075357480282,1,0,1
4680,-0.045564188807297346,-0.6843577587219684,-0.31316573137137915,1,0,1
3320,-0.8980109099914138,-0.6843577587219684,-0.270333242473091,1,1,1
3493,-0.7275215657545905,-0.2627521204695365,-0.29174948692223507,1,0,1
3991,-0.4717875493993556,-0.6843577587219684,-0.29174948692223507,1,0,0
2683,1.062616548732054,-0.6843577587219684,-0.29174948692223507,1,1,0
7536,0.3806591717847609,-0.4735549395957524,-0.29174948692223507,1,1,1
10066,1.062616548732054,0.36965633690911126,-0.270333242473091,1,0,1
9174,-1.2389895984650603,-0.6843577587219684,-0.270333242473091,0,1,1
4125,-0.5570322215177672,-0.05194930134332058,0.029494179814926247,0,0,1
2134,-0.9832555821098254,-0.4735549395957524,-0.20608450912565873,1,0,0
4648,0.5511485160215842,-0.4735549395957524,-0.270333242473091,1,1,1
2845,0.9773718766136423,1.4236704325401908,1.2502201134161395,1,1,1
7459,-0.7275215657545905,1.4236704325401908,-0.29174948692223507,1,0,1
3272,0.2101698275479376,4.796515538559645,-0.29174948692223507,1,0,1
8711,-0.8980109099914138,-0.6843577587219684,-0.31316573137137915,1,0,1
6521,0.3806591717847609,1.6344732516664067,-0.29174948692223507,0,1,1
4162,-0.8127662378730022,2.0560788899188385,0.45781906879780804,1,0,1
10159,1.2331058929688774,-0.6843577587219684,-0.31316573137137915,1,1,1
7464,-0.9832555821098254,-0.2627521204695365,-0.270333242473091,1,0,1
9279,-0.4717875493993556,-0.6843577587219684,-0.31316573137137915,0,1,0
9465,1.744573925679347,-0.2627521204695365,-0.29174948692223507,0,0,1
728,-0.045564188807297346,0.15885351778289533,0.35073784655208756,1,0,1
9777,0.29541449966634925,-0.6843577587219684,-0.29174948692223507,1,0,1
2407,-1.1537449263466486,-0.6843577587219684,-0.31316573137137915,1,0,1
2511,0.2101698275479376,-0.2627521204695365,-0.29174948692223507,1,0,0
3329,0.7216378602584075,-0.6843577587219684,-0.29174948692223507,1,1,0
1834,-0.30129820516253225,-0.6843577587219684,1.3358850912127158,1,1,1
1240,-0.4717875493993556,2.688487347297486,0.05091042426407034,1,0,1
8565,-0.38654287728094394,2.0560788899188385,9.83813413752292,1,0,1
4518,-0.8980109099914138,0.36965633690911126,-0.31316573137137915,1,0,1
8530,0.8921272044952308,-0.6843577587219684,-0.29174948692223507,1,0,1
1700,-0.8127662378730022,-0.6843577587219684,-0.22750075357480282,1,0,0
6299,-1.2389895984650603,-0.6843577587219684,-0.31316573137137915,0,0,0
10636,-1.1537449263466486,-0.6843577587219684,-0.29174948692223507,1,1,0
1880,-1.2389895984650603,1.002064794287759,-0.29174948692223507,1,0,1
1968,-0.38654287728094394,-0.6843577587219684,-0.20608450912565873,1,0,1
8311,-0.8980109099914138,-0.4735549395957524,-0.31316573137137915,0,1,1
1106,0.6363931881399958,-0.4735549395957524,-0.31316573137137915,1,1,1
5162,0.5511485160215842,-0.6843577587219684,-0.29174948692223507,0,1,1
5793,0.12492515542952594,-0.4735549395957524,-0.31316573137137915,0,0,1
3556,-0.13080886092570898,-0.6843577587219684,-0.29174948692223507,1,0,1
7219,-0.21605353304412062,-0.05194930134332058,-0.31316573137137915,1,0,1
3166,-1.2389895984650603,-0.6843577587219684,-0.2489169980239469,1,1,1
2261,1.3183505650872889,-0.4735549395957524,-0.29174948692223507,0,0,1
