index,label
7420,0
5349,0
12722,1
10093,1
9695,1
9632,0
6979,1
4642,1
6819,0
1104,1
11457,0
13200,0
7152,0
12621,0
15744,0
12828,0
14652,1
8719,0
12409,0
14151,0
922,1
10562,0
3216,0
1175,1
9705,0
11790,0
14309,0
6962,0
194,0
4074,1
15013,0
14619,0
15294,0
15585,1
10582,0
13328,0
373,0
4168,1
1040,0
7730,0
9579,1
3131,0
13373,1
4286,0
5542,0
3270,1
13937,0
12780,1
5949,1
11913,1
15515,0
6286,0
9575,0
2884,0
4050,1
12052,0
10995,1
9969,0
9613,0
4267,1
14745,0
5038,0
14499,0
1018,0
7343,0
681,0
3946,0
13015,0
13183,0
8855,0
15205,0
1189,0
11882,0
9108,1
8559,0
14004,1
3661,0
103,0
2061,0
3550,0
10264,0
3078,1
5278,0
14956,1
12703,0
768,0
1876,0
13019,0
6491,0
2650,0
9970,1
11013,0
15038,0
14427,1
12008,1
1532,1
14479,0
7327,0
961,1
13668,0
11950,1
13311,0
2162,0
3364,0
2076,0
9435,0
5522,0
14642,1
1832,0
13216,1
13877,0
7558,1
1545,1
297,0
15326,1
14160,0
893,0
4007,0
10039,0
15621,0
10099,0
4907,0
35,0
15228,0
4606,1
7971,1
1315,0
7896,0
11552,0
4265,1
5472,0
6020,1
2064,0
274,1
5175,1
3372,0
12061,0
15115,0
2610,0
3509,1
14445,0
14915,0
12455,1
9434,1
11014,0
11608,1
13884,0
2577,0
1510,0
11315,1
7598,0
14543,0
15780,0
6294,0
4841,0
7491,1
3546,0
5996,0
8199,0
653,1
532,0
11083,1
780,1
11062,0
1098,0
399,0
13876,1
13444,0
6138,0
5110,0
4549,1
5639,0
6678,0
15679,0
14059,0
10631,1
11717,0
12802,0
3802,0
13523,1
5771,1
6712,0
5966,1
14733,1
6001,1
3250,0
6914,1
9725,1
1,0
11679,1
9979,0
2826,1
10772,1
4175,1
14184,0
6199,0
8969,0
1330,0
2738,0
13618,1
14116,0
14858,0
10141,0
12100,0
1222,1
6731,1
2797,0
6649,0
13896,0
9983,1
8792,0
9206,0
2280,0
11003,0
899,0
9776,0
10486,0
13537,0
9452,0
11301,1
192,0
5257,1
13709,0
9067,1
4938,1
10690,1
11260,1
715,0
2397,1
9,1
7257,1
1220,1
3019,0
4455,0
15732,0
9585,1
14865,0
7953,0
7200,1
4217,0
3891,1
3409,0
1671,1
418,0
1759,0
11885,1
7060,1
9448,1
857,1
6743,0
219,0
3305,0
11118,1
6609,0
15576,1
8805,1
6235,0
9525,0
7540,1
5145,0
13062,0
5626,0
3476,0
9531,0
12095,0
2912,1
10923,1
10429,0
12439,1
12104,0
14005,0
4944,0
1933,0
15635,1
12054,0
15921,1
11010,0
14030,0
10354,0
3392,0
11803,0
8144,0
14162,0
5097,1
5277,0
5355,0
2105,0
10733,0
1031,0
7583,0
10262,1
8128,0
6698,1
10210,0
4342,1
12272,0
13067,1
9274,1
120,0
13985,0
8744,0
6885,0
3338,0
13643,0
9147,0
11448,1
2085,1
10185,0
6181,0
12301,1
3646,1
9109,0
13196,0
1583,0
12389,1
2939,0
14886,0
5929,0
4236,0
4633,1
10987,0
14739,1
13482,0
15901,0
702,0
5572,1
8121,1
13232,0
126,0
15368,1
4329,0
10236,0
11999,0
1313,0
6010,0
2972,0
1595,1
25,0
14308,0
5202,1
2921,1
9775,0
7910,1
14085,0
14330,1
7561,1
12367,0
11086,0
15075,1
14651,1
11227,0
6222,1
15723,0
11643,0
15019,0
3953,0
12745,1
1821,0
69,0
1568,1
1609,1
12967,0
7421,0
7487,0
1142,1
10616,1
4126,0
6409,1
12829,0
12825,1
3036,0
3685,0
12238,0
7600,0
6940,0
14843,0
9036,0
8442,0
10615,1
1378,0
8024,0
10157,0
7497,0
771,1
858,1
11138,0
10695,0
15350,0
7947,0
8988,0
12130,0
11797,1
6122,0
13565,1
3557,0
4471,1
3043,1
11887,1
4114,0
10457,0
10206,0
10742,0
8756,0
14527,0
9577,0
6216,0
15225,0
10219,1
2723,0
2021,0
11015,0
12929,1
12944,0
10417,0
