index,age,priors_count,length_of_stay,isMale,isCaucasian,c_charge_degree_F
5717,-0.13080886092570898,-0.4735549395957524,-0.29174948692223507,1,0,0
9833,2.7675099911002867,-0.6843577587219684,-0.29174948692223507,1,1,1
5569,2.0855526141529936,-0.4735549395957524,-0.31316573137137915,1,0,0
4871,1.4035952372057006,-0.05194930134332058,-0.03475455353250602,1,1,1
5232,-0.8980109099914138,-0.2627521204695365,-0.09900328687993828,1,1,1
7054,1.4035952372057006,-0.6843577587219684,-0.29174948692223507,1,1,0
5113,-1.1537449263466486,-0.6843577587219684,-0.29174948692223507,1,0,1
8742,0.7216378602584075,-0.6843577587219684,-0.29174948692223507,0,1,0
2676,-0.21605353304412062,-0.2627521204695365,-0.31316573137137915,1,1,1
3794,0.9773718766136423,-0.6843577587219684,-0.31316573137137915,1,0,1
151,-1.324234270583472,-0.4735549395957524,-0.12041953132908237,1,0,0
6583,-0.30129820516253225,-0.6843577587219684,-0.31316573137137915,1,0,1
7454,0.6363931881399958,-0.4735549395957524,0.05091042426407034,1,0,0
6058,-0.13080886092570898,-0.6843577587219684,1.4643825579075802,1,0,1
452,2.3412866305082285,-0.6843577587219684,-0.29174948692223507,1,1,1
7216,-0.21605353304412062,0.7912619751615431,-0.31316573137137915,1,0,1
5748,-0.9832555821098254,-0.2627521204695365,-0.29174948692223507,1,0,1
2938,-0.6422768936361789,-0.4735549395957524,-0.270333242473091,1,0,1
542,-0.9832555821098254,-0.05194930134332058,-0.31316573137137915,1,0,1
6926,-0.30129820516253225,-0.4735549395957524,0.5220678021452403,1,1,1
6858,2.000307942034582,-0.05194930134332058,-0.31316573137137915,1,1,0
1702,-0.13080886092570898,2.688487347297486,-0.31316573137137915,1,0,1
3585,1.6593292535609356,-0.4735549395957524,-0.29174948692223507,1,1,0
2062,2.0855526141529936,-0.4735549395957524,-0.31316573137137915,1,0,1
9618,-0.8127662378730022,-0.2627521204695365,-0.31316573137137915,1,1,1
2024,1.4035952372057006,0.36965633690911126,0.37215409100123165,0,1,1
9636,-0.38654287728094394,2.0560788899188385,-0.270333242473091,1,0,1
8642,2.256041958389817,0.15885351778289533,2.2139511136276235,1,1,1
1026,0.9773718766136423,2.899290166423702,-0.18466826467651465,1,0,1
2365,1.2331058929688774,-0.4735549395957524,-0.05617079798165011,1,1,1
5564,0.039680483311114303,0.36965633690911126,4.5054892696860405,1,0,1
6910,-0.13080886092570898,3.110092985549918,-0.31316573137137915,1,0,1
7478,0.12492515542952594,0.15885351778289533,-0.270333242473091,1,0,1
5638,0.2101698275479376,-0.2627521204695365,-0.31316573137137915,1,0,0
4674,-1.2389895984650603,-0.6843577587219684,-0.29174948692223507,1,0,0
2673,-0.9832555821098254,-0.4735549395957524,-0.270333242473091,1,0,1
4088,0.039680483311114303,-0.6843577587219684,-0.31316573137137915,1,0,1
5891,0.5511485160215842,-0.6843577587219684,-0.29174948692223507,1,1,1
7437,-0.4717875493993556,3.53169862380235,0.8861439577806899,0,1,1
3,-0.045564188807297346,-0.6843577587219684,-0.09900328687993828,1,0,1
8314,-0.7275215657545905,0.15885351778289533,-0.31316573137137915,1,0,1
7080,1.4888399093241123,-0.6843577587219684,-0.31316573137137915,0,1,0
10918,-0.38654287728094394,-0.2627521204695365,1.0360576689246985,1,1,1
9981,-1.1537449263466486,-0.4735549395957524,-0.31316573137137915,1,0,1
4661,0.7216378602584075,1.002064794287759,-0.29174948692223507,1,0,0
4450,-1.1537449263466486,-0.6843577587219684,-0.29174948692223507,1,0,1
4866,-0.38654287728094394,2.2668817090450544,0.15799164650979078,1,0,1
3337,-0.21605353304412062,2.2668817090450544,-0.29174948692223507,1,0,1
7890,-0.7275215657545905,0.5804591560353272,-0.09900328687993828,1,0,0
6182,-0.7275215657545905,-0.6843577587219684,-0.31316573137137915,1,0,0
5335,1.4888399093241123,0.7912619751615431,-0.31316573137137915,1,1,1
8026,0.4659038439031725,-0.4735549395957524,-0.31316573137137915,1,0,1
2153,-1.0685002542282371,-0.05194930134332058,0.24365662430636714,1,0,1
9778,0.12492515542952594,-0.6843577587219684,-0.31316573137137915,1,0,1
10168,1.2331058929688774,-0.4735549395957524,-0.31316573137137915,1,1,0
4692,1.062616548732054,-0.6843577587219684,-0.31316573137137915,1,1,0
3696,-1.1537449263466486,-0.4735549395957524,-0.29174948692223507,1,0,1
8876,-0.4717875493993556,0.7912619751615431,-0.270333242473091,1,0,1
9394,-0.4717875493993556,0.15885351778289533,-0.31316573137137915,1,1,1
7099,-0.045564188807297346,-0.2627521204695365,-0.29174948692223507,1,0,1
6467,-0.045564188807297346,1.8452760707926226,0.41498657989951987,1,0,1
4306,-1.0685002542282371,-0.05194930134332058,6.518616247905586,1,0,1
5014,-0.6422768936361789,0.5804591560353272,0.41498657989951987,1,0,1
1212,-0.8980109099914138,-0.4735549395957524,-0.31316573137137915,0,0,0
315,0.29541449966634925,-0.2627521204695365,-0.29174948692223507,1,0,1
2420,-0.5570322215177672,-0.6843577587219684,-0.270333242473091,1,1,0
2534,1.2331058929688774,-0.4735549395957524,0.1151591576115026,1,1,1
10452,0.8068825323768191,-0.6843577587219684,-0.31316573137137915,0,0,1
3744,1.8298185977977588,-0.4735549395957524,-0.31316573137137915,1,0,0
9224,0.3806591717847609,-0.6843577587219684,-0.29174948692223507,1,1,1
2846,0.29541449966634925,-0.4735549395957524,-0.31316573137137915,1,1,1
156,-0.8980109099914138,1.002064794287759,-0.05617079798165011,1,1,1
363,0.8068825323768191,1.002064794287759,-0.22750075357480282,1,1,0
660,0.12492515542952594,-0.2627521204695365,-0.31316573137137915,1,1,0
2353,1.062616548732054,-0.6843577587219684,-0.31316573137137915,1,1,0
8247,-0.9832555821098254,-0.4735549395957524,-0.31316573137137915,1,0,1
4775,0.6363931881399958,-0.05194930134332058,-0.33458197582052324,1,1,1
2236,0.7216378602584075,0.15885351778289533,-0.29174948692223507,1,0,1
532,-1.0685002542282371,-0.6843577587219684,-0.31316573137137915,1,1,1
3021,0.8068825323768191,1.6344732516664067,0.00807793536578216,0,0,1
8419,0.8068825323768191,-0.6843577587219684,-0.31316573137137915,1,0,1
1014,-1.1537449263466486,-0.6843577587219684,-0.31316573137137915,1,0,1
8426,1.744573925679347,-0.6843577587219684,-0.31316573137137915,1,1,1
4672,1.1478612208504657,3.53169862380235,0.6719815132892489,1,1,1
9058,-0.8980109099914138,1.002064794287759,-0.31316573137137915,1,1,1
9664,-0.38654287728094394,-0.05194930134332058,-0.31316573137137915,0,1,1
7910,-0.30129820516253225,0.7912619751615431,-0.29174948692223507,1,0,0
7711,-1.2389895984650603,-0.6843577587219684,-0.31316573137137915,1,0,1
4281,-0.4717875493993556,0.15885351778289533,-0.31316573137137915,1,0,0
6866,-0.9832555821098254,-0.4735549395957524,-0.33458197582052324,0,0,0
1280,-0.7275215657545905,0.15885351778289533,5.961793892227839,1,1,0
10148,-0.30129820516253225,1.6344732516664067,-0.29174948692223507,1,0,0
10707,-0.21605353304412062,0.15885351778289533,-0.31316573137137915,1,1,1
8572,-0.7275215657545905,-0.2627521204695365,-0.270333242473091,1,0,0
4178,-0.6422768936361789,-0.6843577587219684,-0.22750075357480282,1,1,1
8461,-1.0685002542282371,-0.4735549395957524,0.05091042426407034,1,0,1
4864,-0.38654287728094394,0.15885351778289533,-0.29174948692223507,0,0,1
6960,-0.30129820516253225,-0.6843577587219684,-0.270333242473091,0,0,1
2588,-0.30129820516253225,-0.05194930134332058,-0.31316573137137915,1,0,1
10241,-0.38654287728094394,1.4236704325401908,-0.16325202022737056,1,0,1
6172,-0.045564188807297346,-0.2627521204695365,-0.31316573137137915,1,1,1
2407,-1.1537449263466486,-0.6843577587219684,-0.31316573137137915,1,0,1
6615,1.062616548732054,-0.6843577587219684,-0.2489169980239469,0,0,1
2696,-0.045564188807297346,-0.2627521204695365,-0.31316573137137915,1,0,1
5760,0.29541449966634925,-0.6843577587219684,-0.31316573137137915,1,1,0
8278,1.574084581442524,-0.05194930134332058,-0.20608450912565873,1,0,1
4160,-0.8127662378730022,-0.4735549395957524,-0.31316573137137915,0,1,0
9174,-1.2389895984650603,-0.6843577587219684,-0.270333242473091,0,1,1
1993,-0.7275215657545905,-0.6843577587219684,-0.29174948692223507,1,1,1
6439,-0.8127662378730022,0.36965633690911126,0.8433114688824017,1,0,1
5567,-0.13080886092570898,-0.6843577587219684,-0.29174948692223507,0,0,1
6166,-1.2389895984650603,-0.4735549395957524,-0.29174948692223507,1,1,0
2361,1.2331058929688774,-0.2627521204695365,-0.0775870424307942,0,1,0
8023,0.5511485160215842,0.7912619751615431,-0.29174948692223507,1,0,0
7225,-0.21605353304412062,0.7912619751615431,0.7790627355349694,1,0,1
5917,-0.21605353304412062,-0.4735549395957524,-0.2489169980239469,1,0,0
11001,-0.9832555821098254,-0.2627521204695365,-0.29174948692223507,0,0,1
1626,-0.7275215657545905,-0.6843577587219684,-0.29174948692223507,1,0,1
8791,-0.4717875493993556,-0.6843577587219684,-0.33458197582052324,0,1,0
3392,1.1478612208504657,-0.6843577587219684,-0.29174948692223507,1,1,0
5984,-0.045564188807297346,0.15885351778289533,-0.31316573137137915,1,0,0
2152,0.6363931881399958,-0.2627521204695365,-0.29174948692223507,0,0,1
9004,-0.9832555821098254,-0.6843577587219684,-0.31316573137137915,1,0,1
9578,-0.7275215657545905,0.36965633690911126,6.604281225702161,1,0,0
2087,-1.0685002542282371,-0.4735549395957524,-0.22750075357480282,1,0,0
5043,-0.9832555821098254,-0.6843577587219684,0.07232666871321443,1,1,1
565,0.4659038439031725,-0.6843577587219684,-0.14183577577822645,1,1,1
10301,-0.9832555821098254,-0.4735549395957524,-0.29174948692223507,1,0,1
4835,0.2101698275479376,-0.4735549395957524,-0.2489169980239469,1,0,1
1048,0.8068825323768191,2.2668817090450544,-0.29174948692223507,1,0,1
6597,-0.045564188807297346,1.4236704325401908,-0.31316573137137915,1,0,1
2900,-0.8980109099914138,-0.05194930134332058,-0.18466826467651465,1,0,0
4505,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,1,1,1
4826,-0.30129820516253225,1.002064794287759,-0.03475455353250602,1,0,1
8452,-0.6422768936361789,-0.4735549395957524,0.35073784655208756,1,1,0
10928,2.0855526141529936,0.36965633690911126,2.920687180449378,1,0,0
9116,1.3183505650872889,-0.2627521204695365,-0.31316573137137915,1,0,0
10567,-0.4717875493993556,-0.05194930134332058,-0.31316573137137915,0,1,1
3412,-0.8127662378730022,-0.6843577587219684,-0.31316573137137915,1,1,0
1622,1.574084581442524,-0.2627521204695365,-0.31316573137137915,1,0,1
3289,0.29541449966634925,2.4776845281712703,0.8647277133315457,1,0,1
119,-0.21605353304412062,-0.6843577587219684,-0.29174948692223507,1,0,1
6885,-0.5570322215177672,-0.6843577587219684,-0.31316573137137915,0,0,0
10987,-0.7275215657545905,-0.6843577587219684,3.3918445583305483,1,0,1
5392,1.062616548732054,-0.4735549395957524,-0.29174948692223507,1,0,0
1572,-0.6422768936361789,-0.4735549395957524,-0.18466826467651465,1,0,1
9096,-0.8127662378730022,0.36965633690911126,0.45781906879780804,1,0,1
6282,-1.1537449263466486,-0.4735549395957524,-0.270333242473091,1,0,1
6549,1.4888399093241123,-0.6843577587219684,-0.29174948692223507,1,0,0
2223,1.4035952372057006,-0.2627521204695365,0.41498657989951987,1,0,1
9972,-0.8980109099914138,-0.6843577587219684,-0.31316573137137915,1,0,0
7296,1.9150632699161705,-0.6843577587219684,-0.31316573137137915,1,0,0
4992,0.6363931881399958,1.2128676134139749,-0.31316573137137915,1,0,1
9401,-0.8980109099914138,-0.4735549395957524,-0.29174948692223507,1,1,0
10628,-0.38654287728094394,-0.4735549395957524,-0.31316573137137915,1,0,0
2224,-1.1537449263466486,-0.4735549395957524,-0.29174948692223507,0,1,1
6335,-0.8127662378730022,-0.6843577587219684,-0.31316573137137915,1,0,0
6693,-0.8127662378730022,-0.6843577587219684,-0.2489169980239469,1,1,0
5358,-0.7275215657545905,-0.6843577587219684,-0.31316573137137915,1,0,0
855,0.29541449966634925,-0.6843577587219684,-0.12041953132908237,1,0,1
5969,-0.13080886092570898,-0.6843577587219684,-0.31316573137137915,1,1,0
6763,0.12492515542952594,-0.6843577587219684,-0.31316573137137915,0,1,0
8756,-1.1537449263466486,1.002064794287759,4.8909816697706345,1,0,1
5131,-1.2389895984650603,-0.6843577587219684,-0.270333242473091,1,0,1
6968,-0.30129820516253225,1.4236704325401908,3.563174513923701,1,0,1
4170,-0.5570322215177672,0.7912619751615431,-0.29174948692223507,1,1,1
6230,0.8921272044952308,-0.6843577587219684,-0.31316573137137915,0,0,0
1618,0.039680483311114303,-0.6843577587219684,-0.270333242473091,1,0,1
6238,0.8068825323768191,-0.2627521204695365,-0.29174948692223507,1,0,1
630,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,1,1,1
6420,-0.8980109099914138,1.2128676134139749,-0.2489169980239469,1,0,0
5806,-0.21605353304412062,-0.6843577587219684,-0.31316573137137915,1,1,1
2129,-1.2389895984650603,-0.6843577587219684,-0.29174948692223507,1,0,1
3278,-0.8127662378730022,0.15885351778289533,-0.31316573137137915,1,0,1
2151,-0.8127662378730022,-0.2627521204695365,-0.29174948692223507,1,1,0
7848,-1.1537449263466486,-0.6843577587219684,-0.31316573137137915,0,1,1
8174,-0.6422768936361789,-0.4735549395957524,-0.31316573137137915,1,0,1
6284,-1.1537449263466486,-0.6843577587219684,-0.29174948692223507,1,0,1
4556,-0.13080886092570898,-0.05194930134332058,-0.29174948692223507,0,0,0
7988,0.5511485160215842,0.5804591560353272,-0.29174948692223507,1,0,1
2400,-0.38654287728094394,1.6344732516664067,-0.31316573137137915,1,0,1
7272,1.8298185977977588,2.688487347297486,-0.31316573137137915,1,0,1
6085,0.3806591717847609,0.15885351778289533,0.5434840465943844,1,0,1
9275,-0.4717875493993556,-0.6843577587219684,1.2288038689669953,1,0,1
10930,-0.4717875493993556,0.7912619751615431,-0.22750075357480282,1,0,1
3423,-0.13080886092570898,-0.2627521204695365,-0.31316573137137915,0,1,1
6223,1.6593292535609356,-0.2627521204695365,-0.31316573137137915,1,0,0
7752,-0.8127662378730022,0.36965633690911126,-0.29174948692223507,1,1,1
4003,-0.7275215657545905,-0.6843577587219684,-0.29174948692223507,1,1,0
9939,1.3183505650872889,-0.6843577587219684,-0.29174948692223507,1,1,0
9556,-0.38654287728094394,-0.4735549395957524,0.05091042426407034,1,0,1
9674,-1.0685002542282371,0.15885351778289533,-0.270333242473091,1,1,0
1462,-0.38654287728094394,-0.4735549395957524,-0.16325202022737056,1,0,0
3780,-0.8980109099914138,-0.2627521204695365,0.00807793536578216,1,1,0
2446,-0.9832555821098254,-0.6843577587219684,-0.16325202022737056,1,1,1
1145,-1.0685002542282371,-0.2627521204695365,-0.29174948692223507,1,0,1
3426,-0.8127662378730022,3.7425014429285657,-0.270333242473091,1,0,1
4476,2.1707972862714056,3.320895804676134,0.5220678021452403,1,0,1
4590,0.2101698275479376,-0.05194930134332058,-0.270333242473091,1,0,0
694,-0.5570322215177672,-0.4735549395957524,-0.22750075357480282,1,1,1
10619,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,1,0,0
3842,0.039680483311114303,-0.2627521204695365,-0.14183577577822645,1,0,1
7284,-0.8127662378730022,-0.2627521204695365,-0.31316573137137915,1,1,1
6111,1.1478612208504657,-0.6843577587219684,-0.31316573137137915,0,0,0
9186,0.5511485160215842,1.2128676134139749,-0.270333242473091,1,0,0
3419,-0.6422768936361789,0.7912619751615431,-0.09900328687993828,1,0,1
7242,-1.0685002542282371,-0.6843577587219684,-0.29174948692223507,0,0,0
1999,0.8068825323768191,-0.6843577587219684,-0.31316573137137915,1,0,0
416,1.4888399093241123,-0.05194930134332058,0.20082413540807895,1,0,1
3056,-0.8127662378730022,-0.6843577587219684,-0.29174948692223507,1,0,1
2240,-0.8127662378730022,0.36965633690911126,-0.29174948692223507,1,0,1
